# Version: 1.0,,,,,,,,,,,
# Date: August 6 2026,,,,,,,,,,,
# Description: Battery energy storage system inventory.,,,,,,,,,,,
# Functional unit: 200 kWh energy discharged from storage during use over a 15-year lifetime,,,,,,,,,,,
Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,UUID-Source,Brightway Match Code,Brightway Match Key,Description
Production,Battery,"Battery cell, Li-ion, NMC811 {RoW}| battery cell production, Li-ion, NMC811 | Cut-off, U",RoW,900,kg,ecoinvent-3.10-cutoff,17b8810b-980e-553b-bc36-2b618d60de7e,SimaPro,,,NMC type
Production,Inverter,"Inverter, 0.5kW {RoW}| inverter production, 0.5kW | Cut-off, U",RoW,1,p,ecoinvent-3.10-cutoff,96e974e5-313a-5edb-827e-546233ed055a,SimaPro,,,"Power electronics, magnetics, heat sinks, casing"
Production,Electronics housing,"Polypropylene, granulate {RoW}| polypropylene production, granulate | Cut-off, U",RoW,10,kg,ecoinvent-3.10-cutoff,04212d2d-b271-54c1-96d3-e5f0f89ce20e,SimaPro,,,Assumed PP
Production,Wiring,"Copper concentrate, sulfide ore {US}| copper mine operation and beneficiation, sulfide ore | Cut-off, U",US,20,kg,ecoinvent-3.10-cutoff,848c507a-bf63-55fe-806c-cce2ec49e197,SimaPro,,,Copper for wire drawing
Production,Electronics,"Electronics, for control units {RoW}| electronics production, for control units | Cut-off, U",RoW,10,kg,ecoinvent-3.10-cutoff,b88ece4b-cff4-5bc6-871b-632757248445,SimaPro,,,General estimate
Production,Injection molding,"Injection moulding {CA-QC}| injection moulding | Cut-off, U",CA-QC,10,kg,ecoinvent-3.10-cutoff,17b8810b-980e-553b-bc36-2b618d60de7e,SimaPro,,,Injection molding
Production,Wire drawing,"Wire drawing, copper {RoW}| wire drawing, copper | Cut-off, U",RoW,20,kg,ecoinvent-3.10-cutoff,14ba74a0-11f1-54c2-a187-5eb6f3d7eea1,SimaPro,,,For copper wiring
Transport,Ocean freight,"Transport, freight, sea, container ship {GLO}| transport, freight, sea, container ship | Cut-off, U",GLO,13892,tkm,ecoinvent-3.10-cutoff,951bece1-40e9-52c6-886e-2a0beaab9959,SimaPro,,,
Transport,Truck,"Transport, freight, lorry >32 metric ton, EURO3 {RoW}| transport, freight, lorry >32 metric ton, EURO3 | Cut-off, U",RoW,1528,tkm,ecoinvent-3.10-cutoff,744b4753-4710-561f-96e9-5dd1152abb26,SimaPro,,,
End-of-life,Landfill,"Process-specific burdens, inert material landfill {RoW}| process-specific burdens, inert material landfill | Cut-off, U",,1280,kg,ecoinvent-3.10-cutoff,9fc5b7f2-4899-5c5f-91dd-a3c01a6a7577,SimaPro,,,
