# Version: 2.1
# Date: August 20 2026
# Description: Battery energy storage system inventory with ecoinvent 3.12 database
# Functional unit: 200 kWh/n_bess energy discharged from storage during use over a 15-year lifetime
# Parameter: n_bess
# Parameter_Description: Number of battery energy storage systems
# Parameter_Default: 1.0
Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,UUID-Source,Brightway Match Code,Brightway Match Key,Description,Brightway Match Name,Brightway Match Database,Brightway Match Location,Brightway Match Ref Product
Production,Battery,"Battery cell, Li-ion, NMC811 {RoW}| battery cell production, Li-ion, NMC811 | Cut-off, U",RoW,900,kg,ecoinvent-3.12-cutoff,17b8810b-980e-553b-bc36-2b618d60de7e,SimaPro,dd1f0c438b4fdf3987994b66ba725239,"('ecoinvent-3.12-cutoff', 'dd1f0c438b4fdf3987994b66ba725239')",NMC type,"battery cell production, Li-ion, NMC811",ecoinvent-3.12-cutoff,RoW,"battery cell, Li-ion, NMC811"
Production,Inverter,"Inverter, 0.5kW {RoW}| inverter production, 0.5kW | Cut-off, U",RoW,1,p,ecoinvent-3.12-cutoff,96e974e5-313a-5edb-827e-546233ed055a,SimaPro,9bf3858720b7b3ebb71170c83decfbef,"('ecoinvent-3.12-cutoff', '9bf3858720b7b3ebb71170c83decfbef')","Power electronics, magnetics, heat sinks, casing","inverter production, 0.5kW",ecoinvent-3.12-cutoff,RoW,"inverter, 0.5kW"
Production,Electronics housing,"Polypropylene, granulate {RoW}| polypropylene production, granulate | Cut-off, U",RoW,10,kg,ecoinvent-3.12-cutoff,04212d2d-b271-54c1-96d3-e5f0f89ce20e,SimaPro,f0fabe27a63e2a4a70c6dd34a211922b,"('ecoinvent-3.12-cutoff', 'f0fabe27a63e2a4a70c6dd34a211922b')",Assumed PP,"polypropylene production, granulate",ecoinvent-3.12-cutoff,RoW,"polypropylene, granulate"
Production,Wiring,"Copper concentrate, sulfide ore {US}| copper mine operation and beneficiation, sulfide ore | Cut-off, U",US,20,kg,ecoinvent-3.12-cutoff,848c507a-bf63-55fe-806c-cce2ec49e197,SimaPro,a5054bb4fefd08d98c8c4dc393a5d113,"('ecoinvent-3.12-cutoff', 'a5054bb4fefd08d98c8c4dc393a5d113')",Copper for wire drawing,"copper mine operation and beneficiation, sulfide ore",ecoinvent-3.12-cutoff,US,"copper concentrate, sulfide ore"
Production,Electronics,"Electronics, for control units {RoW}| electronics production, for control units | Cut-off, U",RoW,10,kg,ecoinvent-3.12-cutoff,b88ece4b-cff4-5bc6-871b-632757248445,SimaPro,98171caf6d8e65fb81de703cebc81862,"('ecoinvent-3.12-cutoff', '98171caf6d8e65fb81de703cebc81862')",General estimate,"electronics production, for control units",ecoinvent-3.12-cutoff,RoW,"electronics, for control units"
Production,Injection molding,"Injection moulding {CA-QC}| injection moulding | Cut-off, U",CA-QC,10,kg,ecoinvent-3.12-cutoff,17b8810b-980e-553b-bc36-2b618d60de7e,SimaPro,4ad095a0e6bcdee0c92b6da1ae8b57d1,"('ecoinvent-3.12-cutoff', '4ad095a0e6bcdee0c92b6da1ae8b57d1')",Injection molding,injection moulding,ecoinvent-3.12-cutoff,CA-QC,injection moulding
Production,Wire drawing,"Wire drawing, copper {RoW}| wire drawing, copper | Cut-off, U",RoW,20,kg,ecoinvent-3.12-cutoff,14ba74a0-11f1-54c2-a187-5eb6f3d7eea1,SimaPro,0794af4c0abe8e128f97d0c784c9d985,"('ecoinvent-3.12-cutoff', '0794af4c0abe8e128f97d0c784c9d985')",For copper wiring,"wire drawing, copper",ecoinvent-3.12-cutoff,RoW,"wire drawing, copper"
Transport,Ocean freight,"Transport, freight, sea, container ship {GLO}| transport, freight, sea, container ship | Cut-off, U",GLO,13892,tkm,ecoinvent-3.12-cutoff,951bece1-40e9-52c6-886e-2a0beaab9959,SimaPro,f049dace574f0ee3bb9e466a2cf1d881,"('ecoinvent-3.12-cutoff', 'f049dace574f0ee3bb9e466a2cf1d881')",,"transport, freight, sea, container ship, heavy fuel oil",ecoinvent-3.12-cutoff,GLO,"transport, freight, sea, container ship, heavy fuel oil"
Transport,Truck,"Transport, freight, lorry >32 metric ton, EURO3 {RoW}| transport, freight, lorry >32 metric ton, EURO3 | Cut-off, U",RoW,1528,tkm,ecoinvent-3.12-cutoff,744b4753-4710-561f-96e9-5dd1152abb26,SimaPro,ef6bffe58e9d5976728177a00f317f71,"('ecoinvent-3.12-cutoff', 'ef6bffe58e9d5976728177a00f317f71')",,"transport, freight, lorry 28 metric ton, fatty acid methyl ester 100%",ecoinvent-3.12-cutoff,RoW,"transport, freight, lorry 28 metric ton, fatty acid methyl ester 100%"
End-of-life,Landfill,"Process-specific burdens, inert material landfill {RoW}| process-specific burdens, inert material landfill | Cut-off, U",,1280,kg,ecoinvent-3.12-cutoff,9fc5b7f2-4899-5c5f-91dd-a3c01a6a7577,SimaPro,f3bdece169ea4e6928a81e570afca6b9,"('ecoinvent-3.12-cutoff', 'f3bdece169ea4e6928a81e570afca6b9')",,"process-specific burdens, inert material landfill",ecoinvent-3.12-cutoff,RoW,"process-specific burdens, inert material landfill"
