Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,Brightway Match Code,Brightway Match Name,Material Group,Tally Material Group,Life Cycle Stage,Description
A1-A3,Acoustic ceiling tile fiber,,United States,6082.363261,kg,ecoinvent-3.12-cutoff,d1120c60-447d-5273-a122-f686aed379d2,94d28cb7518244233ce4c524f4ed31b9,Acoustic ceiling tile fiber,Acoustic ceilings,Ceiling tile,A1-A3,"Fiber-based acoustic ceiling tiles. Various thicknesses, compositions, finishes, and NRC/CAC ratings | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Suspension assembly,,United States,1292.646461,kg,ecoinvent-3.12-cutoff,bb1c5a4a-cd4e-5c70-af1b-a0304abf2c08,d6418d3ed7ed3b7e7f5f809823204e52,Suspension assembly,Acoustic ceilings,Ceiling tile,A1-A3,"Steel suspension assemblies for acoustic ceiling tiles. Typically includes tracks, grids, and profile assemblies without associated hangers or hardware. Galvanized or ungalvanized and various finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Adhesives and sealants,,United States,733.755125,kg,ecoinvent-3.12-cutoff,d47a6abc-9b2b-575d-ab24-a12c0998823c,a4ec8071e006ee25b9f8e9082cb09dc3,Adhesives and sealants,Adhesives and sealants,Adhesive / Sealant,A1-A3,Various adhesives and sealants | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Air and vapor barriers,,United States,559.08795,kg,ecoinvent-3.12-cutoff,3f5baa5a-ec24-502c-b975-1e52e4b40bcd,ec2c8a687ca0a75644b4b09569b99d87,Air and vapor barriers,Air and vapor barriers,Vapor barrier,A1-A3,Various air and vapor barriers | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Extrusion,,United States,3102.103489,kg,ecoinvent-3.12-cutoff,96eaf873-f584-5c5e-b22d-ef0ca217a0e0,0f4a29836737c959f23373b5dc59d6d9,Extrusion,Aluminum,Metal,A1-A3,"Standard and/or thermally improved aluminum extrusions for various applications. Inclusive of finish where applicable (mill, painted, anodized, etc.). May include manufacturing inputs to storefront/curtain wall systems listed in Windows and frames.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Roll formed metal panel steel,,United States,3578.088752,kg,ecoinvent-3.12-cutoff,e5840678-4984-552e-94b7-a88a9fb3fe3a,9f0b0e654079fbac0e2c476547c62d6e,Roll formed metal panel steel,Cladding,Metal,A1-A3,Roll-formed steel cladding panel such as standing seam or box rib; Various thickness and coatings | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Stucco finish,,United States,1859.292822,kg,ecoinvent-3.12-cutoff,f1a3ac15-707b-56de-ba27-349751e98e8f,62b61f40fecd0b445617b16f24cd6be5,Stucco finish,Cladding,Wall coverings,A1-A3,Portland cement based or synthetic stucco. Excludes insulation for EIFS systems.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Coatings - other,,United States,161.879601,kg,ecoinvent-3.12-cutoff,45d1ec9e-a077-5ad2-b728-546abfd27ebf,1a837ee3849f066588a38aba19d15a60,Coatings - other,Coatings,Metal Coating,A1-A3,All other coatings for various surfaces and functions that could not be classified with a mat_type | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Paint,,United States,311.411762,kg,ecoinvent-3.12-cutoff,923b8530-4694-5275-b881-1955609b4a6d,b3252a77c4dce9e3f8fedbde431c7b81,Paint,Coatings,Coating,A1-A3,Interior and exterior paints for surface decoration and/or protection. Various applications and chemical compositions.   | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,GFRC general,,United States,1755.106044,kg,ecoinvent-3.12-cutoff,73e7c2e6-65a9-5dfd-a8b2-e3c93ea2add7,f40a6d016d02c4406339fb51095c11d2,GFRC general,Concrete,Concrete,A1-A3,"General glass fiber reinforced concrete products. Various shapes, sizes, strengths, applications, and finishes. Excludes GFRC cladding panels which are reported separately.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Precast,,United States,424436.741822,kg,ecoinvent-3.12-cutoff,478a73f8-c4ab-5c94-837d-57d844563fe5,9d5f671f91d687a958b4a1943aa3d3b9,Precast,Concrete,Concrete,A1-A3,"Precast concrete products. Various strengths, mix designs, and applications. May contain reinforcing when LCA modeler selected an EPD that reflects multiple materials.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Ready mix NW 3000,,United States,1036903.25195,kg,ecoinvent-3.12-cutoff,d115b686-cb53-5f5d-9f68-2817bf2cc832,ff1cf2621f46e527d86a91f791410eff,Ready mix NW 3000,Concrete,Concrete,A1-A3,Normal weight ready mix concrete. 3000 PSI. Exclusive of reinforcing. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Aluminum door,,United States,178.901458,kg,ecoinvent-3.12-cutoff,c92a8eea-d9e7-5c08-9b26-90560f7a1bc0,6f5cf8c1a9792d83c896986c05a1560d,Aluminum door,Doors and frames,Door,A1-A3,"Aluminum doors mainly for exterior applications of various sizes, cores, insulating properties, and finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Aluminum door frame,,United States,97.725595,kg,ecoinvent-3.12-cutoff,0d947fa3-d6fb-5ed8-afe0-665245c6a644,6f5cf8c1a9792d83c896986c05a1560d,Aluminum door frame,Doors and frames,Door frame,A1-A3,Aluminum door frames. Various. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Doors and frames - other,,United States,167.225472,kg,ecoinvent-3.12-cutoff,266b7f37-b2bf-5e97-abf9-54028d40d7f3,6075bf87888355533444f10c70614b2e,Doors and frames - other,Doors and frames,Glazing,A1-A3,"Other doors and frames or associated components/materials such as hardware, finishes, and specialties that could not be classified with mat_type  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Doors and frames - other,,United States,436.05436,kg,ecoinvent-3.12-cutoff,576e330b-0700-59eb-bdee-d05e264b3bc9,6075bf87888355533444f10c70614b2e,Doors and frames - other,Doors and frames,Opening hardware,A1-A3,"Other doors and frames or associated components/materials such as hardware, finishes, and specialties that could not be classified with mat_type  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Steel door,,United States,746.735126,kg,ecoinvent-3.12-cutoff,25e1bbda-5bd1-50f2-92ea-9e3acc1a8db2,9f0b0e654079fbac0e2c476547c62d6e,Steel door,Doors and frames,Door,A1-A3,"Steel doors, interior or exterior applications. Various sizes, cores, gauges, and finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Steel door frame,,United States,75.410934,kg,ecoinvent-3.12-cutoff,4565be84-1e3e-532e-8196-5508520cbf55,9f0b0e654079fbac0e2c476547c62d6e,Steel door frame,Doors and frames,Door frame,A1-A3,Steel door frames. Various | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Wood or composite door,,United States,820.61441,kg,ecoinvent-3.12-cutoff,91bfcf3d-875b-50c1-a774-211b004554c5,b9788e7d42c3eb3c6a0cc42c9c8fab6a,Wood or composite door,Doors and frames,Door,A1-A3,"Wood or wood composite doors for interior or exterior applications. Various cores, species, and finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
