# Version: 1.0,,,,,,,,,,,
# Date: August 6 2026,,,,,,,,,,,
# Description: Propane tank + furnace inventory.,,,,,,,,,,,
# Functional unit: 200 kWh energy discharged from storage during use over a 15-year lifetime,,,,,,,,,,,
Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,UUID-Source,Brightway Match Code,Brightway Match Key,Description,Brightway Match Name,Brightway Match Database,Brightway Match Location,Brightway Match Ref Product
Production,Aluminum,"Aluminium, primary, cast alloy slab from continuous casting {CA-QC}| aluminium production, primary, cast alloy slab from continuous casting | Cut-off, U",CA-QC,15,kg,ecoinvent-3.10-cutoff,956615e5-f9f1-58f5-a11a-42fbd83509c8,SimaPro,39de88a95c4bc8f41284279cf3a5b3a0,"('ecoinvent-3.10-cutoff', '39de88a95c4bc8f41284279cf3a5b3a0')",,"aluminium production, primary, cast alloy slab from continuous casting",ecoinvent-3.10-cutoff,CA-QC,"aluminium, primary, cast alloy slab from continuous casting"
Production,Copper,"Copper concentrate, sulfide ore {US}| copper mine operation and beneficiation, sulfide ore | Cut-off, U",US,15,kg,ecoinvent-3.10-cutoff,848c507a-bf63-55fe-806c-cce2ec49e197,SimaPro,cbeb81298985f02ca088bddbb987d820,"('ecoinvent-3.10-cutoff', 'cbeb81298985f02ca088bddbb987d820')",,"copper mine operation and beneficiation, sulfide ore",ecoinvent-3.10-cutoff,US,"copper concentrate, sulfide ore"
Production,Electronics,"Electronics, for control units {RoW}| electronics production, for control units | Cut-off, U",RoW,7,kg,ecoinvent-3.10-cutoff,b88ece4b-cff4-5bc6-871b-632757248445,SimaPro,632eadaaaba7cdf5119d0368e930a53a,"('ecoinvent-3.10-cutoff', '632eadaaaba7cdf5119d0368e930a53a')",,"electronics production, for control units",ecoinvent-3.10-cutoff,RoW,"electronics, for control units"
Production,"Polymers (PVC, PE, rubber)","Polyvinylchloride, bulk polymerised {RoW}| polyvinylchloride production, bulk polymerisation | Cut-off, U",RoW,5,kg,ecoinvent-3.10-cutoff,d915d502-8aa0-5a65-9df5-8d63b7ddd702,SimaPro,aa610f36311cdbd27f6e1d2235ee6109,"('ecoinvent-3.10-cutoff', 'aa610f36311cdbd27f6e1d2235ee6109')",,"polyvinylchloride production, bulk polymerisation",ecoinvent-3.10-cutoff,RoW,"polyvinylchloride, bulk polymerised"
Production,Propane,"Propane {GLO}| natural gas liquids fractionation | Cut-off, U",GLO,1050,kg,ecoinvent-3.10-cutoff,63928187-7f29-5bab-9e36-59cb9b44f308,SimaPro,a977e4d800ba681098addd56720e3630,"('ecoinvent-3.10-cutoff', 'a977e4d800ba681098addd56720e3630')",,natural gas liquids fractionation,ecoinvent-3.10-cutoff,GLO,isobutane
Production,Stainless steel,"Steel, chromium steel 18/8 {GLO}| market for steel, chromium steel 18/8 | Cut-off, U",GLO,140,kg,ecoinvent-3.10-cutoff,40e32cec-0e36-5282-a540-9dc9fb4a7015,SimaPro,3a2caa153f4b39980c02f7a307874b83,"('ecoinvent-3.10-cutoff', '3a2caa153f4b39980c02f7a307874b83')",,"market for steel, chromium steel 18/8",ecoinvent-3.10-cutoff,GLO,"steel, chromium steel 18/8"
Production,Carbon steel,"Steel, low-alloyed {CA-QC}| steel production, electric, low-alloyed | Cut-off, U",CA-QC,400,kg,ecoinvent-3.10-cutoff,3aeaaa72-eda9-5e1c-b722-c27fc2a6e951,SimaPro,43d1be52900f5c223951b7698a215441,"('ecoinvent-3.10-cutoff', '43d1be52900f5c223951b7698a215441')",,"steel production, electric, low-alloyed",ecoinvent-3.10-cutoff,CA-QC,"steel, low-alloyed"
Production,Injection mold,"Injection moulding {RoW}| injection moulding | Cut-off, U",,5,kg,ecoinvent-3.10-cutoff,492160f0-73e5-578b-a65c-ace8eb82198e,SimaPro,63ea78293c97f602d88f5085811e53d1,"('ecoinvent-3.10-cutoff', '63ea78293c97f602d88f5085811e53d1')",,injection moulding,ecoinvent-3.10-cutoff,RoW,injection moulding
Production,Powder coat,"Powder coat, aluminium sheet {RER}| powder coating, aluminium sheet | Cut-off, U",,15,m2,ecoinvent-3.10-cutoff,07425111-e51f-5d84-9dc1-87eb17fb824f,SimaPro,70dbfb5ec518c47e0a2e5524a321893d,"('ecoinvent-3.10-cutoff', '70dbfb5ec518c47e0a2e5524a321893d')",,"powder coating, aluminium sheet",ecoinvent-3.10-cutoff,RER,"powder coat, aluminium sheet"
Production,Sheet rolling,"Sheet rolling, aluminium {GLO}| market for sheet rolling, aluminium | Cut-off, U",,15,kg,ecoinvent-3.10-cutoff,f40fdee0-5532-5f80-ba4d-24ba668c50ea,SimaPro,b535b02a0b5bf294e2eed5337ffca6d4,"('ecoinvent-3.10-cutoff', 'b535b02a0b5bf294e2eed5337ffca6d4')",,"market for sheet rolling, aluminium",ecoinvent-3.10-cutoff,GLO,"sheet rolling, aluminium"
Production,Welding,"Welding, arc, steel {GLO}| market for welding, arc, steel | Cut-off, U",,10,m2,ecoinvent-3.10-cutoff,f565a0e0-e371-5900-bf53-a778b1c5c8d1,SimaPro,6234c94191b279f7b7b38609e9f32db1,"('ecoinvent-3.10-cutoff', '6234c94191b279f7b7b38609e9f32db1')",,"market for welding, arc, steel",ecoinvent-3.10-cutoff,GLO,"welding, arc, steel"
Production,Wire drawing,"Wire drawing, steel {GLO}| market for wire drawing, steel | Cut-off, U",,7,kg,ecoinvent-3.10-cutoff,80ee09d6-809f-5ac9-80bf-64d001b28fab,SimaPro,b91739cb22b20891ee5d062d1d761f96,"('ecoinvent-3.10-cutoff', 'b91739cb22b20891ee5d062d1d761f96')",,"market for wire drawing, steel",ecoinvent-3.10-cutoff,GLO,"wire drawing, steel"
Transport,Truck,"Transport, freight, lorry 16-32 metric ton, EURO3 {RoW}| market for transport, freight, lorry 16-32 metric ton, EURO3 | Cut-off, U",RoW,349.2669235,tkm,ecoinvent-3.10-cutoff,81c50202-13a6-56cb-a98d-6a1f0b9069e7,SimaPro,b55984574fb40dc63cefa057201c367f,"('ecoinvent-3.10-cutoff', 'b55984574fb40dc63cefa057201c367f')",,"market for transport, freight, lorry 16-32 metric ton, EURO3",ecoinvent-3.10-cutoff,RoW,"transport, freight, lorry 16-32 metric ton, EURO3"
Use,Propane consumption,"Propane, burned in building machine {GLO}| market for propane, burned in building machine | Cut-off, U",GLO,135000,MJ,ecoinvent-3.10-cutoff,3a0a2969-0b85-5389-8369-2f4d81760466,SimaPro,941fd1983e7c7b3c0e16ac8c2cb45bab,"('ecoinvent-3.10-cutoff', '941fd1983e7c7b3c0e16ac8c2cb45bab')",,"market for propane, burned in building machine",ecoinvent-3.10-cutoff,GLO,"propane, burned in building machine"
