# Version: 1.0
# Date: August 17 2026
# Description: Sand thermal energy storage with pump and heat exchanger
# Functional unit: 200 kWh energy discharged from storage during use over a 15-year lifetime
Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,UUID-Source,Brightway Match Code,Brightway Match Key,Description,Brightway Match Name,Brightway Match Database,Brightway Match Location,Brightway Match Ref Product
Production,Silica sand,Sand {CH}| gravel and sand quarry operation | Cut-off U,CH,1400,kg,ecoinvent-3.10-cutoff,9686f719-3ebb-53e8-aac1-27f959c26af7,SimaPro,9c4433c53c6413d47737f6f2011c9859,"('ecoinvent-3.10-cutoff', '9c4433c53c6413d47737f6f2011c9859')",gravel and sand quarry operation,,ecoinvent-3.10-cutoff,CH,sand
Production,Carbon steel,Steel low-alloyed {RoW}| steel production converter low-alloyed | Cut-off,RoW,260,kg,ecoinvent-3.10-cutoff,532d2c51-947b-5c58-925f-f223112874c0,SimaPro,6da8d63a29e38a11d9dd6341aa71e1ed,"('ecoinvent-3.10-cutoff', '6da8d63a29e38a11d9dd6341aa71e1ed')",,"steel production, converter, low-alloyed",ecoinvent-3.10-cutoff,RoW,"steel, low-alloyed"
Production,Stainless steel,Steel chromium steel 18/8 {RoW}| steel production electric chromium steel 18/8 | Cut-off U,RoW,35,kg,ecoinvent-3.10-cutoff,17a52107-d25f-5f54-9283-e592ce32d053,SimaPro,6f9ddf8deb882d0e10f43fa9c9786a73,"('ecoinvent-3.10-cutoff', '6f9ddf8deb882d0e10f43fa9c9786a73')",,"steel production, electric, chromium steel 18/8",ecoinvent-3.10-cutoff,RoW,"steel, chromium steel 18/8"
Production,Nichrome alloy,Iron-nickel-chromium alloy {RoW}| iron-nickel-chromium alloy production | Cut-off U,RoW,8,kg,ecoinvent-3.10-cutoff,54db5edd-35d3-57bf-bd9e-30f6eb1cce45,SimaPro,d4f96bd0c19d8d5103cc176fef49f800,"('ecoinvent-3.10-cutoff', 'd4f96bd0c19d8d5103cc176fef49f800')",,iron-nickel-chromium alloy production,ecoinvent-3.10-cutoff,RoW,iron-nickel-chromium alloy
Production,Stone wool,Stone wool packed {CH}| stone wool production packed | Cut-off U,CH,120,kg,ecoinvent-3.10-cutoff,83b0fda4-601c-5406-993d-7f5e9d599789,SimaPro,31ad4d4d882daf154bd418ee6198c54a,"('ecoinvent-3.10-cutoff', '31ad4d4d882daf154bd418ee6198c54a')",,"stone wool production, packed",ecoinvent-3.10-cutoff,CH,"stone wool, packed"
Production,Gypsum board,Gypsum plasterboard {CH}| gypsum plasterboard production | Cut-off U,CH,60,kg,ecoinvent-3.10-cutoff,401ada14-75ac-5fc7-885e-4f1527a59f2b,SimaPro,fd315886219a55daf11ba96845ddfa14,"('ecoinvent-3.10-cutoff', 'fd315886219a55daf11ba96845ddfa14')",,gypsum plasterboard production,ecoinvent-3.10-cutoff,CH,gypsum plasterboard
Production,Glass wool,Glass wool mat {CA-QC}| glass wool mat production | Cut-off U,CA-QC,18,kg,ecoinvent-3.10-cutoff,41a5f5f2-a14c-5956-9f60-5ff9bf00a3c3,SimaPro,aee12caed1a9a44e3cab4dc62f921289,"('ecoinvent-3.10-cutoff', 'aee12caed1a9a44e3cab4dc62f921289')",,glass wool mat production,ecoinvent-3.10-cutoff,CA-QC,glass wool mat
Production,Copper,Copper concentrate sulfide ore {US}| copper mine operation and beneficiation sulfide ore | Cut-off U,RoW,6,kg,ecoinvent-3.10-cutoff,848c507a-bf63-55fe-806c-cce2ec49e197,SimaPro,cbeb81298985f02ca088bddbb987d820,"('ecoinvent-3.10-cutoff', 'cbeb81298985f02ca088bddbb987d820')",,"copper mine operation and beneficiation, sulfide ore",ecoinvent-3.10-cutoff,US,"copper concentrate, sulfide ore"
Production,Aluminum,Aluminium primary cast alloy slab from continuous casting {CA-QC}| aluminium production primary cast alloy slab from continuous casting | Cut-off U,CA-QC,12,kg,ecoinvent-3.10-cutoff,956615e5-f9f1-58f5-a11a-42fbd83509c8,SimaPro,39de88a95c4bc8f41284279cf3a5b3a0,"('ecoinvent-3.10-cutoff', '39de88a95c4bc8f41284279cf3a5b3a0')",,"aluminium production, primary, cast alloy slab from continuous casting",ecoinvent-3.10-cutoff,CA-QC,"aluminium, primary, cast alloy slab from continuous casting"
Production,PVC,Polyvinylchloride emulsion polymerised {RoW}| polyvinylchloride production emulsion polymerisation | Cut-off U,RoW,8,kg,ecoinvent-3.10-cutoff,153253df-8b5b-5aab-9bc6-fab9ef57001a,SimaPro,66962c4c8b0add26cfdea7c597596cc4,"('ecoinvent-3.10-cutoff', '66962c4c8b0add26cfdea7c597596cc4')",,"polyvinylchloride production, emulsion polymerisation",ecoinvent-3.10-cutoff,RoW,"polyvinylchloride, emulsion polymerised"
Production,Electronics,Electronics for control units {RoW}| electronics production for control units | Cut-off U,RoW,10,kg,ecoinvent-3.10-cutoff,b88ece4b-cff4-5bc6-871b-632757248445,SimaPro,632eadaaaba7cdf5119d0368e930a53a,"('ecoinvent-3.10-cutoff', '632eadaaaba7cdf5119d0368e930a53a')",,"electronics production, for control units",ecoinvent-3.10-cutoff,RoW,"electronics, for control units"
Production,Pump,Permanent magnet for electric motor {GLO}| market for permanent magnet for electric motor | Cut-off U,GLO,1,kg,ecoinvent-3.10-cutoff,ed7cf3b3-9b6d-5cd3-901f-2d36423c3a75,SimaPro,4e2928b4504c3e801d5340b34dec8532,"('ecoinvent-3.10-cutoff', '4e2928b4504c3e801d5340b34dec8532')",,"market for permanent magnet, for electric motor",ecoinvent-3.10-cutoff,GLO,"permanent magnet, for electric motor"
Production,Polymer mfg,Injection moulding {CA-QC}| injection moulding | Cut-off U,Ca-QC,8,kg,ecoinvent-3.10-cutoff,2aaaafa3-c4b6-5252-a5dd-900d8df93a11,SimaPro,c033968cb16f64462f0f128aeb00a484,"('ecoinvent-3.10-cutoff', 'c033968cb16f64462f0f128aeb00a484')",,injection moulding,ecoinvent-3.10-cutoff,CA-QC,injection moulding
Production,Aluminum mfg,Sheet rolling aluminium {RoW}| sheet rolling aluminium | Cut-off U,RoW,12,kg,ecoinvent-3.10-cutoff,4ce56f07-081d-5ee4-b8aa-11448cdd7f5b,SimaPro,cdf7cdcfbf15f8baf489a054d69a0443,"('ecoinvent-3.10-cutoff', 'cdf7cdcfbf15f8baf489a054d69a0443')",,"sheet rolling, aluminium",ecoinvent-3.10-cutoff,RoW,"sheet rolling, aluminium"
Production,Insulation mfg,Thermoforming with calendering {GLO}| market for thermoforming with calendering | Cut-off U,GLO,198,kg,ecoinvent-3.10-cutoff,fd83a6e3-b6ca-5b4f-b618-0438416222b5,SimaPro,728e9442b9d5e4a0d99ab487713021dc,"('ecoinvent-3.10-cutoff', '728e9442b9d5e4a0d99ab487713021dc')",,"market for thermoforming, with calendering",ecoinvent-3.10-cutoff,GLO,"thermoforming, with calendering"
Production,Steel mfg,Welding arc steel {GLO}| market for welding arc steel | Cut-off U,GLO,10,m,ecoinvent-3.10-cutoff,f565a0e0-e371-5900-bf53-a778b1c5c8d1,SimaPro,6234c94191b279f7b7b38609e9f32db1,"('ecoinvent-3.10-cutoff', '6234c94191b279f7b7b38609e9f32db1')",,"market for welding, arc, steel",ecoinvent-3.10-cutoff,GLO,"welding, arc, steel"
Production,Wire drawing,Wire drawing copper {GLO}| market for wire drawing copper | Cut-off U,GLO,10,kg,ecoinvent-3.10-cutoff,a8c9b91b-3788-582e-9dd3-b40f95af6453,SimaPro,09927fa5d779bfd18ab68dc0302fd699,"('ecoinvent-3.10-cutoff', '09927fa5d779bfd18ab68dc0302fd699')",,"market for wire drawing, copper",ecoinvent-3.10-cutoff,GLO,"wire drawing, copper"
Transport,Truck,Transport freight lorry >32 metric ton EURO3 {RoW}| transport freight EURO3 | Cut-off U,RoW,928,tkm,ecoinvent-3.10-cutoff,744b4753-4710-561f-96e9-5dd1152abb26,SimaPro,5059050b95b949d40f4f2547270bbd96,"('ecoinvent-3.10-cutoff', '5059050b95b949d40f4f2547270bbd96')",, lorry >32 metric ton, lorry >32 metric ton, lorry >32 metric ton, lorry >32 metric ton
Use,Pumping electricity,Water pump operation electric {CA-QC}| water pump operation electric | Cut-off U,CA-QC,540,MJ,ecoinvent-3.10-cutoff,64ad18a7-56ce-5beb-a9e3-b726f2c107e6,SimaPro,c572d910a4ba5ed39f5397351a84e0ec,"('ecoinvent-3.10-cutoff', 'c572d910a4ba5ed39f5397351a84e0ec')",,"water pump operation, electric",ecoinvent-3.10-cutoff,CA-QC,"water pump operation, electric"
